Sales Order;Delivery Note;Invoice;Posting Date;Due Date;Customer;Qty;UOM;Territory;Sales Term;Sales Person;Grand Total
SO/2013/01065;DN/2013/01063;INV/2013/01054;2013-06-03;2013-06-17;Gundaling Berastagi 1;500;Sak 40kg;Binlangkar;S Terms TOP 14 Day;10;21750000.07
SO/2013/01066;DN/2013/01053;INV/2013/01044;2013-06-03;2013-06-17;Sabar Jaya Marendal 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20250000.1
SO/2013/01067;DN/2013/01054;INV/2013/01045-1;2013-06-03;2013-06-17;Hanjaya Patumbak 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20250000.09
SO/2013/01068;DN/2013/01061;INV/2013/01052;2013-06-03;2013-06-17;Mandiri Jaya Marendal 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20250000.1
SO/2013/01069;DN/2013/01059;INV/2013/01050;2013-06-03;2013-06-17;Karunia Jaya Johor 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20250000.1
SO/2013/01071;DN/2013/01058;INV/2013/01049;2013-06-03;2013-06-17;SS Jaya Tanjung Anom 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20250000.09
SO/2013/01073;DN/2013/01062;INV/2013/01053;2013-06-03;2013-06-17;Asbes Angsa Medan 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20375000.16
SO/2013/01074;DN/2013/01060;INV/2013/01051;2013-06-03;2013-06-17;Dunia Co Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;8;20250000.01
SO/2013/01075;DN/2013/01055;INV/2013/01046-1;2013-06-03;2013-06-02;Utama Bangunan Batubara 1;500;Sak 40kg;Serkibata;DO Terms;8;19750000
SO/2013/01077;DN/2013/01057;INV/2013/01048;2013-06-03;2013-06-17;Naga Mas (Bintang Mas) Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;8;20250000.01
